연번,시,구,동,관리번호,지번주소,도로명주소,설치일자,카메라대수,위도,경도,데이터기준일자,weight
"2740",경기도 성남시,분당구,백현동,분당백현-A-29,백현동 567번지,동판교로52번길 3-8 (백현동),"2011","5","37.385383 ","127.108538 ",2025-11-12,0.70
"2741",경기도 성남시,분당구,백현동,분당백현-A-30,백현동 566번지,동판교로52번길 11 (백현동),"2011","5","37.385300 ","127.110722 ",2025-11-12,0.70
"2742",경기도 성남시,분당구,백현동,분당백현-A-31,백현동 568-2번지,,"2011","1","37.384979 ","127.108751 ",2025-11-12,0.70
"2743",경기도 성남시,분당구,백현동,분당백현-A-32,백현동 575-9번지,동판교로52번길 16-6 (백현동),"2011","1","37.384294 ","127.109013 ",2025-11-12,0.70
"2744",경기도 성남시,분당구,백현동,분당백현-A-33,백현동 569-4번지,동판교로52번길 14-7 (백현동),"2011","5","37.384702 ","127.109657 ",2025-11-12,0.70
"2745",경기도 성남시,분당구,백현동,분당백현-A-34,백현동 571번지,동판교로52번길 17-9 (백현동),"2011","4","37.384917 ","127.110541 ",2025-11-12,0.70
"2746",경기도 성남시,분당구,백현동,분당백현-A-35,백현동 579-2번지,동판교로52번길 21-3 (백현동),"2011","4","37.385208 ","127.112465 ",2025-11-12,0.70
"2747",경기도 성남시,분당구,백현동,분당백현-A-36,백현동 583-1번지,,"2011","4","37.384439 ","127.112635 ",2025-11-12,0.70
"2748",경기도 성남시,분당구,백현동,분당백현-A-38,백현동 581-5번지,,"2011","1","37.383586 ","127.112094 ",2025-11-12,0.70
"2749",경기도 성남시,분당구,백현동,분당백현-A-39,백현동 584번지,,"2011","1","37.383819 ","127.112952 ",2025-11-12,0.70
"2750",경기도 성남시,분당구,백현동,분당백현-A-40,백현동 604-3번지,판교역로 75 (백현동),"2015","3","37.387707 ","127.115088 ",2025-11-12,0.70
"2751",경기도 성남시,분당구,백현동,분당백현-A-41,백현동 605-11번지,,"2011","2","37.387008 ","127.114395 ",2025-11-12,0.70
"2752",경기도 성남시,분당구,백현동,분당백현-A-42,백현동 606번지,판교역로 75 (백현동),"2011","2","37.386900 ","127.115740 ",2025-11-12,0.70
"2753",경기도 성남시,분당구,백현동,분당백현-A-43,백현동 595-1번지,판교역로 26 (백현동),"2011","5","37.386821 ","127.113917 ",2025-11-12,0.70
"2754",경기도 성남시,분당구,백현동,분당백현-A-44,백현동 595번지,,"2011","3","37.386591 ","127.113450 ",2025-11-12,0.70
