연번,시,구,동,관리번호,지번주소,도로명주소,설치일자,카메라대수,위도,경도,데이터기준일자,weight
"1",경기도 성남시,수정구,신흥1동,수정신흥1-A-1,신흥1동 6497번지,수정남로84번길 24-1 (신흥동),"2009","5","37.439615 ","127.138008 ",2025-11-12,0.70
"2",경기도 성남시,수정구,신흥1동,수정신흥1-A-2,신흥1동 6598번지,탄리로16번길 3-8 (신흥동),"2009","4","37.438970 ","127.139560 ",2025-11-12,0.70
"3",경기도 성남시,수정구,신흥1동,수정신흥1-A-3,신흥1동 5095번지,시민로163번길 19 (신흥동),"2009","5","37.442144 ","127.141380 ",2025-11-12,0.70
"4",경기도 성남시,수정구,신흥1동,수정신흥1-A-4,신흥1동 4326번지,산성대로225번길 16 (신흥동),"2009","5","37.439805 ","127.141888 ",2025-11-12,0.70
"5",경기도 성남시,수정구,신흥1동,수정신흥1-A-5,신흥1동 4900번지,탄리로52번길 32 (신흥동),"2009","4","37.440745 ","127.140138 ",2025-11-12,0.70
"6",경기도 성남시,수정구,신흥1동,수정신흥1-A-6,신흥1동 4669번지,시민로145번길 16-14 (신흥동),"2009","5","37.441122 ","127.142066 ",2025-11-12,0.70
"7",경기도 성남시,수정구,신흥1동,수정신흥1-A-7,신흥1동 4224번지,산성대로 241 (신흥동),"2009","5","37.440008 ","127.143811 ",2025-11-12,0.70
"8",경기도 성남시,수정구,신흥1동,수정신흥1-A-8,신흥1동 5544-1번지,수정로154번길 8 (신흥동),"2009","5","37.441737 ","127.137535 ",2025-11-12,0.70
"9",경기도 성남시,수정구,신흥1동,수정신흥1-A-9,신흥1동 6077번지,탄리로52번길 12 (신흥동),"2012","5","37.440932 ","127.137909 ",2025-11-12,0.70
"10",경기도 성남시,수정구,신흥1동,수정신흥1-A-10,신흥1동 5514번지,수정로180번길 3 (신흥동),"2013","5","37.442849 ","127.140006 ",2025-11-12,0.70
"11",경기도 성남시,수정구,신흥1동,수정신흥1-A-11,신흥1동 6926번지,산성대로215번길 7 (신흥동),"2013","5","37.438513 ","127.140835 ",2025-11-12,0.70
"12",경기도 성남시,수정구,신흥1동,수정신흥1-A-12,신흥1동 6284번지,탄리로30번길 15-1 (신흥동),"2013","5","37.439546 ","127.139669 ",2025-11-12,0.70
"13",경기도 성남시,수정구,신흥1동,수정신흥1-A-13,신흥1동 4579번지,수정남로132번길 25 (신흥동),"2013","5","37.440843 ","127.142982 ",2025-11-12,0.70
"14",경기도 성남시,수정구,신흥1동,수정신흥1-A-14,신흥1동 5319-3번지,시민로163번길 26 (신흥동),"2014","5","37.442062 ","127.140387 ",2025-11-12,0.70
"15",경기도 성남시,수정구,신흥1동,수정신흥1-A-15,신흥1동 5534-1번지,수정로162번길 6 (신흥동),"2015","5","37.442310 ","127.138210 ",2025-11-12,0.70
"16",경기도 성남시,수정구,신흥1동,수정신흥1-A-16,신흥1동 5481번지,수정로188번길 7 (신흥동),"2016","5","37.442840 ","127.141120 ",2025-11-12,0.70
"17",경기도 성남시,수정구,신흥1동,수정신흥1-A-17,신흥1동 6593번지,탄리로 16 (신흥동),"2016","5","37.438860 ","127.139570 ",2025-11-12,0.70
"18",경기도 성남시,수정구,신흥1동,수정신흥1-A-18,신흥1동 4916번지,시민로155번길 18 (신흥동),2017-12,"5","37.441510 ","127.141580 ",2025-11-12,0.70
"19",경기도 성남시,수정구,신흥1동,수정신흥1-A-19,신흥1동 5755번지,수정남로98번길 9 (신흥동),2017-12,"5","37.441420 ","127.138800 ",2025-11-12,0.70
"20",경기도 성남시,수정구,신흥1동,수정신흥1-A-20,신흥1동 5055번지,수정로170번길 19-3 (신흥동),2018-07,"5","37.441520 ","127.139860 ",2025-11-12,0.70
"21",경기도 성남시,수정구,신흥1동,수정신흥1-A-21,신흥1동 6407번지,탄리로42번길 12 (신흥동),2018-07,"5","37.440130 ","127.138230 ",2025-11-12,0.70
"22",경기도 성남시,수정구,신흥1동,수정신흥1-A-22,신흥1동 4503번지,시민로139번길 3 (신흥동),2018-07,"5","37.440430 ","127.143620 ",2025-11-12,0.70
"23",경기도 성남시,수정구,신흥1동,수정신흥1-A-23,신흥1동 4945번지,수정로 180번길 23,2018-10,"5","37.441290 ","127.140730 ",2025-11-12,0.70
"24",경기도 성남시,수정구,신흥1동,수정신흥1-A-24,신흥1동 5189번지,"시민로 165 (신흥동, 샤르망)",2018-10,"5","37.442430 ","127.142270 ",2025-11-12,0.70
"25",경기도 성남시,수정구,신흥1동,수정신흥1-A-25,신흥1동 6926번지,산성대로215번길 7 (신흥동),2019-04,"4","37.439020 ","127.141120 ",2025-11-12,0.70
"26",경기도 성남시,수정구,신흥1동,수정신흥1-A-26,신흥1동 4245번지,산성대로225번길 6 (신흥동),2019-04,"5","37.439270 ","127.142320 ",2025-11-12,0.70
"27",경기도 성남시,수정구,신흥1동,수정신흥1-A-27,신흥1동 4546번지,시민로155번길 5 (신흥동),2019-09,"5","37.441920 ","127.142900 ",2025-11-12,0.70
"28",경기도 성남시,수정구,신흥1동,수정신흥1-A-28,신흥1동 6676번지,탄리로16번길 11 (신흥동),2019-09,"5","37.439010 ","127.140390 ",2025-11-12,0.70
"29",경기도 성남시,수정구,신흥1동,수정신흥1-A-29,신흥1동 4500번지,산성대로241번길 16 (신흥동),2019-09,"5","37.440950 ","127.143370 ",2025-11-12,0.70
"30",경기도 성남시,수정구,신흥1동,수정신흥1-A-30,신흥1동 5617,수정남로 103-2,2020-07,"5","37.442260 ","127.139163 ",2025-11-12,0.70
"31",경기도 성남시,수정구,신흥1동,수정신흥1-A-31,신흥1동 6295,탄리로42번길 22,2020-07,"5","37.440246 ","127.139363 ",2025-11-12,0.70
"32",경기도 성남시,수정구,신흥1동,수정신흥1-A-32,신흥1동 4826,산성대로225번길 27-1,2020-07,"5","37.440885 ","127.141154 ",2025-11-12,0.70
"33",경기도 성남시,수정구,신흥1동,수정신흥1-A-33,신흥1동 5180,시민로 165,2020-07,"5","37.442695 ","127.142158 ",2025-11-12,0.70
"34",경기도 성남시,수정구,신흥1동,수정신흥1-A-34,신흥1동 4900,탄리로52번길 32,2020-12,"4","37.441090 ","127.140231 ",2025-11-12,0.70
"35",경기도 성남시,수정구,신흥1동,수정신흥1-A-35,신흥1동 5481번지,수정구 수정로188번길 7,2021-06,"5","37.443103 ","127.141009 ",2025-11-12,0.70
"36",경기도 성남시,수정구,신흥1동,수정신흥1-A-36,신흥1동 5490,시민로175번길 8-1,2021-12,"4","37.443400 ","127.141750 ",2025-11-12,0.70
"37",경기도 성남시,수정구,신흥1동,수정신흥1-A-37,신흥1동 5688,수정로170번길 14,2022-07,"5","37.441975 ","127.139533 ",2025-11-12,0.70
"38",경기도 성남시,수정구,신흥1동,수정신흥1-A-38,신흥1동 6729,탄리로30번길 34,2022-08,"5","37.440440 ","127.141461 ",2025-11-12,0.70
"39",경기도 성남시,수정구,신흥1동,수정신흥1-A-39,신흥1동 6540,탄리로 30번길6-1,2022-08,"4","37.439242 ","127.138706 ",2025-11-12,0.70
"40",경기도 성남시,수정구,신흥1동,수정신흥1-A-40,신흥1동 5652,수정로 170번길 12,2023-06,"3","37.442137 ","127.139298 ",2025-11-12,0.70
"41",경기도 성남시,수정구,신흥1동,수정신흥1-A-41,신흥1동 5045,수정로 180번길 17,2023-06,"5","37.441797 ","127.140534 ",2025-11-12,0.70
"42",경기도 성남시,수정구,신흥1동,수정신흥1-A-42,신흥1동 4407,산성대로 225번길 20-16,2023-06,"5","37.440472 ","127.142194 ",2025-11-12,0.70
"43",경기도 성남시,수정구,신흥1동,수정신흥1-A-43,신흥1동 5659,수정남로98번길 3,2024-10,"5","37.441894 ","127.138686 ",2025-11-12,0.70
"44",경기도 성남시,수정구,신흥1동,수정신흥1-A-44,신흥1동 6932-2,탄리로 12-1,2024-10,"4","37.438527 ","127.139743 ",2025-11-12,0.70
"45",경기도 성남시,수정구,신흥2동,수정신흥2-A-1,신흥2동 2024번지,공원로370번길 30 (신흥동),"2009","5","37.444985 ","127.150824 ",2025-11-12,0.70
"46",경기도 성남시,수정구,신흥2동,수정신흥2-A-2,신흥2동 6956,,2021-06,"4","37.451105 ","127.146177 ",2025-11-12,0.70
"47",경기도 성남시,수정구,신흥2동,수정신흥2-A-4,신흥2동 1232번지,공원로370번길 29 (신흥동),"2009","3","37.446667 ","127.149359 ",2025-11-12,0.70
"48",경기도 성남시,수정구,신흥2동,수정신흥2-A-5,신흥2동 37번지,수정로279번길 3 (신흥동),"2009","4","37.449397 ","127.145009 ",2025-11-12,0.70
"49",경기도 성남시,수정구,신흥2동,수정신흥2-A-6,신흥2동 30번지,수정로 283 (신흥동),"2009","6","37.450147 ","127.144902 ",2025-11-12,0.70
"50",경기도 성남시,수정구,신흥2동,수정신흥2-A-7,신흥2동 2344번지,공원로370번길 26 (신흥동),"2009","3","37.448640 ","127.149810 ",2025-11-12,0.70
"51",경기도 성남시,수정구,신흥2동,수정신흥2-A-8,신흥2동 2024번지,"공원로 360 (신흥동, 두산아파트)","2009","3","37.447040 ","127.152150 ",2025-11-12,0.70
"52",경기도 성남시,수정구,신흥2동,수정신흥2-A-9,신흥2동 950,수정구 수정로 282,2021-06,"6","37.449440 ","127.146309 ",2025-11-12,0.70
"53",경기도 성남시,수정구,신흥2동,수정신흥2-A-10,신흥2동 76-1번지,"수정로251번길 32 (신흥동, 신원빌리지)","2009","4","37.449348 ","127.143239 ",2025-11-12,0.70
"54",경기도 성남시,수정구,신흥2동,수정신흥2-A-11,신흥2동 110-3번지,수정로251번길 8-1 (신흥동),"2012","4","37.447433 ","127.144710 ",2025-11-12,0.70
"55",경기도 성남시,수정구,신흥2동,수정신흥2-A-13,신흥2동 6950,,2024-10,"3","37.455169 ","127.149695 ",2025-11-12,0.70
"56",경기도 성남시,수정구,신흥2동,수정신흥2-A-14,신흥2동 2457-4,,2023-02,"5","37.446290 ","127.155437 ",2025-11-12,0.70
"57",경기도 성남시,수정구,신흥2동,수정신흥2-A-15,신흥2동 32,수정로 277,2023-06,"4","37.449634 ","127.146202 ",2025-11-12,0.70
"58",경기도 성남시,수정구,신흥2동,수정신흥2-A-16,신흥2동 2460-4,,2022-01,"5","37.446330 ","127.154490 ",2025-11-12,0.70
"59",경기도 성남시,수정구,신흥2동,수정신흥2-A-17,신흥2동 2460-4,,2022-01,"5","37.446630 ","127.153720 ",2025-11-12,0.70
"60",경기도 성남시,수정구,신흥2동,수정신흥2-A-18,신흥2동 2460-4,,2022-01,"5","37.446760 ","127.153320 ",2025-11-12,0.70
"61",경기도 성남시,수정구,신흥2동,수정신흥2-A-19,신흥2동 2460-4,,2022-01,"5","37.447320 ","127.154060 ",2025-11-12,0.70
"62",경기도 성남시,수정구,신흥2동,수정신흥2-A-20,신흥2동 80번지,"수정로251번길 22-1 (신흥동, 신원빌리지)","2016","3","37.448630 ","127.143810 ",2025-11-12,0.70
"63",경기도 성남시,수정구,신흥2동,수정신흥2-A-21,신흥2동 37번지,수정로279번길 5 (신흥동),"2016","5","37.449600 ","127.145240 ",2025-11-12,0.70
"64",경기도 성남시,수정구,신흥2동,수정신흥2-A-22,신흥2동 2460-4,,2022-01,"5","37.445923 ","127.152250 ",2025-11-12,0.70
"65",경기도 성남시,수정구,신흥2동,수정신흥2-A-23,신흥2동 2460-4,,2022-01,"5","37.446000 ","127.153890 ",2025-11-12,0.70
"66",경기도 성남시,수정구,신흥2동,수정신흥2-A-24,신흥2동 2024번지,"공원로 360 (신흥동, 두산아파트)",2018-07,"4","37.445970 ","127.149380 ",2025-11-12,0.70
"67",경기도 성남시,수정구,신흥2동,수정신흥2-A-25,신흥2동 48번지,"공원로436번길 10 (신흥동, 현대빌리지)",2018-07,"4","37.449540 ","127.143700 ",2025-11-12,0.70
"68",경기도 성남시,수정구,신흥2동,수정신흥2-A-26,신흥2동 89번지, ,2018-10,"5","37.448690 ","127.143130 ",2025-11-12,0.70
"69",경기도 성남시,수정구,신흥2동,수정신흥2-A-27,신흥2동 53-10번지,수정로257번길 12-9 (신흥동),2019-04,"4","37.448960 ","127.144930 ",2025-11-12,0.70
"70",경기도 성남시,수정구,신흥2동,수정신흥2-A-28,신흥2동 86-2번지,공원로418번길 7 (신흥동),2019-09,"4","37.448140 ","127.144720 ",2025-11-12,0.70
"71",경기도 성남시,수정구,신흥2동,수정신흥2-A-29,신흥2동 2463-1번지,산성대로 341 (신흥동),2019-09,"4","37.444690 ","127.153130 ",2025-11-12,0.70
"72",경기도 성남시,수정구,신흥2동,수정신흥2-A-30,신흥2동 109번지,수정로257번길 1 (신흥동),2019-09,"4","37.447680 ","127.145190 ",2025-11-12,0.70
"73",경기도 성남시,수정구,신흥2동,수정신흥2-A-31,신흥2동 47-1번지,시민로155번길 5 (신흥동),2019-12,"6","37.449250 ","127.142720 ",2025-11-12,0.70
"74",경기도 성남시,수정구,신흥2동,수정신흥2-A-32,신흥동 2440,,2024-10,"3","37.447472 ","127.153657 ",2025-11-12,0.70
"75",경기도 성남시,수정구,신흥2동,수정신흥2-A-34,신흥2동 6-1,,2020-10,"4","37.454536 ","127.144362 ",2025-11-12,0.70
"76",경기도 성남시,수정구,신흥2동,수정신흥2-A-35,신흥2동 5-2,,2020-10,"4","37.454807 ","127.144900 ",2025-11-12,0.70
"77",경기도 성남시,수정구,신흥2동,수정신흥2-A-36,신흥2동 4-2,,2020-10,"4","37.454229 ","127.146170 ",2025-11-12,0.70
"78",경기도 성남시,수정구,신흥2동,수정신흥2-A-37,신흥2동 10,,2020-10,"4","37.455400 ","127.149343 ",2025-11-12,0.70
"79",경기도 성남시,수정구,신흥2동,수정신흥2-A-38,신흥2동 10,,2020-10,"4","37.455904 ","127.149736 ",2025-11-12,0.70
"80",경기도 성남시,수정구,신흥2동,수정신흥2-A-40,신흥2동 922,수정로288번길 3-7,2020-07,"3","37.450308 ","127.147343 ",2025-11-12,0.70
"81",경기도 성남시,수정구,신흥2동,수정신흥2-A-41,신흥2동 2460-4,,2022-01,"5","37.445798 ","127.153110 ",2025-11-12,0.70
"82",경기도 성남시,수정구,신흥2동,수정신흥2-A-42,신흥2동 2460-4,,2022-01,"5","37.445458 ","127.153110 ",2025-11-12,0.70
"83",경기도 성남시,수정구,신흥2동,수정신흥2-A-43,신흥2동 2460-4,,2022-01,"5","37.446630 ","127.154570 ",2025-11-12,0.70
"84",경기도 성남시,수정구,신흥2동,수정신흥2-A-44,신흥2동 2460-4,,2022-01,"5","37.446183 ","127.153250 ",2025-11-12,0.70
"85",경기도 성남시,수정구,신흥2동,수정신흥2-A-45,신흥2동 2460-4,,2022-01,"5","37.446283 ","127.152730 ",2025-11-12,0.70
"86",경기도 성남시,수정구,신흥2동,수정신흥2-A-46,신흥2동 2344,공원로370번길 30,2021-12,"5","37.447410 ","127.149860 ",2025-11-12,0.70
"87",경기도 성남시,수정구,신흥2동,수정신흥2-A-47,신흥2동 2344,공원로370번길 30,2021-12,"4","37.448050 ","127.150870 ",2025-11-12,0.70
"88",경기도 성남시,수정구,신흥2동,수정신흥2-A-48,신흥2동 6956,포레스티아 산책로,2023-06,"4","37.453204 ","127.144393 ",2025-11-12,0.70
"89",경기도 성남시,수정구,신흥2동,수정신흥2-A-49,신흥2동 6956,포레스티아 산책로,2023-06,"4","37.452319 ","127.145253 ",2025-11-12,0.70
"90",경기도 성남시,수정구,신흥2동,수정신흥2-A-50,신흥동 126,,2024-07,"4","37.451665 ","127.149942 ",2025-11-12,0.70
"91",경기도 성남시,수정구,신흥2동,수정신흥2-A-51,신흥동 137,,2024-07,"4","37.450619 ","127.151486 ",2025-11-12,0.70
"92",경기도 성남시,수정구,신흥2동,수정신흥2-A-52,신흥동 153,,2024-07,"4","37.449441 ","127.153060 ",2025-11-12,0.70
"93",경기도 성남시,수정구,신흥2동,수정신흥2-A-53,신흥동 828,,2024-07,"4","37.451082 ","127.148322 ",2025-11-12,0.70
"94",경기도 성남시,수정구,신흥2동,수정신흥2-A-54,신흥동 185,,2024-07,"5","37.450803 ","127.148898 ",2025-11-12,0.70
"95",경기도 성남시,수정구,신흥2동,수정신흥2-A-55,신흥동 464,,2024-07,"5","37.448334 ","127.152487 ",2025-11-12,0.70
"96",경기도 성남시,수정구,신흥2동,수정신흥2-A-56,신흥동 2440,,2024-07,"3","37.448310 ","127.153306 ",2025-11-12,0.70
"97",경기도 성남시,수정구,신흥2동,수정신흥2-A-57,신흥동 24-2,,2024-07,"4","37.449354 ","127.146240 ",2025-11-12,0.70
"98",경기도 성남시,수정구,신흥2동,수정신흥2-A-58,신흥동 24-2,,2024-07,"4","37.449616 ","127.147460 ",2025-11-12,0.70
"99",경기도 성남시,수정구,신흥2동,수정신흥2-A-59,신흥동 24-2,,2024-07,"5","37.449254 ","127.147890 ",2025-11-12,0.70
"100",경기도 성남시,수정구,신흥2동,수정신흥2-A-60,신흥동 1223,,2024-07,"4","37.448330 ","127.148430 ",2025-11-12,0.70
"101",경기도 성남시,수정구,신흥2동,수정신흥2-A-61,신흥동 1741-8,,2024-07,"3","37.448243 ","127.145514 ",2025-11-12,0.70
"102",경기도 성남시,수정구,신흥2동,수정신흥2-A-62,신흥동 1745-1,,2024-07,"5","37.446387 ","127.145635 ",2025-11-12,0.70
"103",경기도 성남시,수정구,신흥2동,수정신흥2-A-63,신흥동 1748-1,,2024-07,"3","37.445909 ","127.146323 ",2025-11-12,0.70
"104",경기도 성남시,수정구,신흥2동,수정신흥2-A-64,신흥동 1940,,2024-07,"3","37.445979 ","127.147778 ",2025-11-12,0.70
"105",경기도 성남시,수정구,신흥2동,수정신흥2-A-65,신흥동 2019,,2024-07,"4","37.445401 ","127.148644 ",2025-11-12,0.70
"106",경기도 성남시,수정구,신흥2동,수정신흥2-A-66,신흥동 2009,,2024-07,"3","37.445033 ","127.148118 ",2025-11-12,0.70
"107",경기도 성남시,수정구,신흥2동,수정신흥2-A-67,신흥동 478,,2024-07,"3","37.446775 ","127.147884 ",2025-11-12,0.70
"108",경기도 성남시,수정구,신흥2동,수정신흥2-A-68,신흥동 1262,,2024-07,"4","37.448892 ","127.149022 ",2025-11-12,0.70
"109",경기도 성남시,수정구,신흥2동,수정신흥2-A-69,신흥동 394,,2024-07,"4","37.449366 ","127.150983 ",2025-11-12,0.70
"110",경기도 성남시,수정구,신흥2동,수정신흥2-A-70,신흥동 1975(1),,2024-07,"3","37.445835 ","127.147781 ",2025-11-12,0.70
"111",경기도 성남시,수정구,신흥2동,수정신흥2-A-71,신흥동 1975(2),,2024-07,"3","37.445373 ","127.147497 ",2025-11-12,0.70
"112",경기도 성남시,수정구,신흥2동,수정신흥2-A-72,신흥동 1975(3),,2024-07,"4","37.445282 ","127.148220 ",2025-11-12,0.70
"113",경기도 성남시,수정구,신흥2동,수정신흥2-A-73,신흥동 818 (1),,2024-07,"4","37.450761 ","127.148726 ",2025-11-12,0.70
"114",경기도 성남시,수정구,신흥2동,수정신흥2-A-74,신흥동 818 (2),,2024-07,"3","37.450632 ","127.148581 ",2025-11-12,0.70
"115",경기도 성남시,수정구,신흥2동,수정신흥2-A-75,신흥동 2344,,2024-07,"4","37.448316 ","127.151978 ",2025-11-12,0.70
"116",경기도 성남시,수정구,신흥2동,수정신흥2-D-5,신흥동 248,,2024-07,"5","37.449985 ","127.150230 ",2025-11-12,0.70
"117",경기도 성남시,수정구,신흥3동,수정신흥3-A-1,신흥3동 4124번지,산성대로 267 (신흥동),"2009","4","37.440774 ","127.146991 ",2025-11-12,0.70
"118",경기도 성남시,수정구,신흥3동,수정신흥3-A-2,신흥3동 4194번지,산성대로 255 (신흥동),"2009","4","37.440296 ","127.145406 ",2025-11-12,0.70
"119",경기도 성남시,수정구,신흥3동,수정신흥3-A-3,신흥3동 3755번지,수정남로150번길 16 (신흥동),"2009","5","37.442240 ","127.143850 ",2025-11-12,0.70
"120",경기도 성남시,수정구,신흥3동,수정신흥3-A-4,신흥3동 3429번지,,"2009","6","37.444979 ","127.145030 ",2025-11-12,0.70
"121",경기도 성남시,수정구,신흥3동,수정신흥3-A-5,신흥3동 2819번지,공원로349번길 8 (신흥동),"2009","4","37.443506 ","127.148462 ",2025-11-12,0.70
"122",경기도 성남시,수정구,신흥3동,수정신흥3-A-6,신흥3동 2482번지,산성대로 301 (신흥동),"2009","5","37.441803 ","127.149547 ",2025-11-12,0.70
"123",경기도 성남시,수정구,신흥3동,수정신흥3-A-7,신흥3동 3583번지,시민로164번길 21 (신흥동),"2009","5","37.443692 ","127.145124 ",2025-11-12,0.70
"124",경기도 성남시,수정구,신흥3동,수정신흥3-A-8,신흥3동 3436-17번지,시민로 172 (신흥동),"2009","5","37.443294 ","127.142801 ",2025-11-12,0.70
"125",경기도 성남시,수정구,신흥3동,수정신흥3-A-9,신흥3동 2778번지,산성대로269번길 26 (신흥동),"2012","5","37.442937 ","127.145693 ",2025-11-12,0.70
"126",경기도 성남시,수정구,신흥3동,수정신흥3-A-10,신흥3동 3561번지,시민로164번길 11 (신흥동),"2013","5","37.443075 ","127.144079 ",2025-11-12,0.70
"127",경기도 성남시,수정구,신흥3동,수정신흥3-A-11,신흥3동 3785-1번지,"시민로150번길 5 (신흥동, 스카이캐슬)","2013","5","37.441670 ","127.144189 ",2025-11-12,0.70
"128",경기도 성남시,수정구,신흥3동,수정신흥3-A-12,신흥3동 2819번지,공원로349번길 8 (신흥동),"2014","4","37.443582 ","127.149577 ",2025-11-12,0.70
"129",경기도 성남시,수정구,신흥3동,수정신흥3-A-13,신흥3동 3094번지,수정로228번길 24 (신흥동),"2015","5","37.443960 ","127.143780 ",2025-11-12,0.70
"130",경기도 성남시,수정구,신흥3동,수정신흥3-A-14,신흥3동 3436-7번지,수정남로 149 (신흥동),"2015","4","37.443960 ","127.143780 ",2025-11-12,0.70
"131",경기도 성남시,수정구,신흥3동,수정신흥3-A-15,신흥3동 2562-1번지,산성대로295번길 9-1 (신흥동),"2016","5","37.442610 ","127.149020 ",2025-11-12,0.70
"132",경기도 성남시,수정구,신흥3동,수정신흥3-A-16,신흥3동 2750번지,산성대로269번길 24-18 (신흥동),2017-12,"5","37.443040 ","127.146470 ",2025-11-12,0.70
"133",경기도 성남시,수정구,신흥3동,수정신흥3-A-17,신흥3동 2586-4번지,산성대로283번길 14 (신흥동),2017-12,"5","37.442510 ","127.147740 ",2025-11-12,0.70
"134",경기도 성남시,수정구,신흥3동,수정신흥3-A-18,신흥3동 2598-2번지,산성대로303번길 13-1 (신흥동),2018-07,"4","37.443180 ","127.149720 ",2025-11-12,0.70
"135",경기도 성남시,수정구,신흥3동,수정신흥3-A-19,신흥3동 3365번지,수정로220번길 11 (신흥동),2018-07,"5","37.444070 ","127.144710 ",2025-11-12,0.70
"136",경기도 성남시,수정구,신흥3동,수정신흥3-A-20,신흥3동 3252번지,수정남로176번길 6-11 (신흥동),2019-04,"5","37.444690 ","127.146110 ",2025-11-12,0.70
"137",경기도 성남시,수정구,신흥3동,수정신흥3-A-21,신흥3동 3387번지,수정남로 176 (신흥동),2019-09,"4","37.445350 ","127.145960 ",2025-11-12,0.70
"138",경기도 성남시,수정구,신흥3동,수정신흥3-A-22,신흥3동 2833-1번지,공원로 367 (신흥동),2019-09,"4","37.444440 ","127.147830 ",2025-11-12,0.70
"139",경기도 성남시,수정구,신흥3동,수정신흥3-A-23,신흥3동 3444번지,수정남로 142 (신흥동),2019-09,"5","37.443480 ","127.143240 ",2025-11-12,0.70
"140",경기도 성남시,수정구,신흥3동,수정신흥3-A-24,신흥3동 3058번지,수정남로176번길 14-14 (신흥동),2019-09,"5","37.444340 ","127.146900 ",2025-11-12,0.70
"141",경기도 성남시,수정구,신흥3동,수정신흥3-A-25,신흥3동 3024,수정남로164번길 14-1,2020-07,"5","37.443587 ","127.145859 ",2025-11-12,0.70
"142",경기도 성남시,수정구,신흥3동,수정신흥3-A-26,신흥3동 3290,수정로228번길 13-1,2020-07,"5","37.444560 ","127.145730 ",2025-11-12,0.70
"143",경기도 성남시,수정구,신흥3동,수정신흥3-A-27,신흥3동 2821,공원로349번길 4,2020-07,"5","37.443826 ","127.149350 ",2025-11-12,0.70
"144",경기도 성남시,수정구,신흥3동,수정신흥3-A-28,신흥3동 2796-11,산성대로283번길 28,2020-07,"5","37.443533 ","127.147179 ",2025-11-12,0.70
"145",경기도 성남시,수정구,신흥3동,수정신흥3-A-29,신흥3동 2606-3,공원로339번길 2,2020-12,"4","37.443302 ","127.150641 ",2025-11-12,0.70
"146",경기도 성남시,수정구,신흥3동,수정신흥3-A-30,신흥3동 2496,산성대로283번길6,2021-06,"5","37.441833 ","127.148146 ",2025-11-12,0.70
"147",경기도 성남시,수정구,신흥3동,수정신흥3-A-31,신흥3동 4051,산성대로255번길 16-15,2021-06,"5","37.441730 ","127.145520 ",2025-11-12,0.70
"148",경기도 성남시,수정구,신흥3동,수정신흥3-A-32,신흥3동 2645,,2021-12,"3","37.442542 ","127.146737 ",2025-11-12,0.70
"149",경기도 성남시,수정구,신흥3동,수정신흥3-A-33,신흥3동 4124,산성대로 267,2021-12,"5","37.441690 ","127.146420 ",2025-11-12,0.70
"150",경기도 성남시,수정구,신흥3동,수정신흥3-A-34,신흥3동 4125,시민로142번길 20,2021-12,"4","37.441570 ","127.146050 ",2025-11-12,0.70
"151",경기도 성남시,수정구,신흥3동,수정신흥3-A-35,신흥3동 2574,산성대로269번길 16-6,2021-12,"3","37.442140 ","127.146620 ",2025-11-12,0.70
"152",경기도 성남시,수정구,신흥3동,수정신흥3-A-36,신흥3동 3436-1,,2022-04,"3","37.444351 ","127.143275 ",2025-11-12,0.70
"153",경기도 성남시,수정구,신흥3동,수정신흥3-A-37,신흥3동 4192,,2023-02,"4","37.440839 ","127.145210 ",2025-11-12,0.70
"154",경기도 성남시,수정구,신흥3동,수정신흥3-A-38,신흥3동 4202,시민로 142번길 8,2023-06,"5","37.441050 ","127.144551 ",2025-11-12,0.70
"155",경기도 성남시,수정구,신흥3동,수정신흥3-A-39,신흥3동 4043,산성대로 269번길 15,2023-06,"4","37.442064 ","127.146238 ",2025-11-12,0.70
"156",경기도 성남시,수정구,신흥3동,수정신흥3-A-40,신흥3동 3436-11,수정로 210,2024-10,"5","37.444187 ","127.142797 ",2025-11-12,0.70
"157",경기도 성남시,수정구,태평1동,수정태평1-A-1,태평1동 6717번지,,"2010","5","37.443117 ","127.126226 ",2025-11-12,0.70
"158",경기도 성남시,수정구,태평1동,수정태평1-A-2,태평1동 6135번지,,"2010","3","37.442590 ","127.127500 ",2025-11-12,0.70
"159",경기도 성남시,수정구,태평1동,수정태평1-A-3,태평1동 5127번지,성남대로1314번길 7 (태평동),"2010","4","37.447047 ","127.127873 ",2025-11-12,0.70
"160",경기도 성남시,수정구,태평1동,수정태평1-A-4,태평1동 6481번지,수정로73번길 16-27 (태평동),"2010","4","37.440484 ","127.129008 ",2025-11-12,0.70
"161",경기도 성남시,수정구,태평1동,수정태평1-A-5,태평1동 6595번지,성남대로 1295 (태평동),"2010","3","37.445357 ","127.126460 ",2025-11-12,0.70
"162",경기도 성남시,수정구,태평1동,수정태평1-A-6,태평1동 5140번지,제일로 223 (태평동),"2010","4","37.445856 ","127.128686 ",2025-11-12,0.70
"163",경기도 성남시,수정구,태평1동,수정태평1-A-7,태평1동 5350번지,남문로11번길 7-2 (태평동),"2010","5","37.445007 ","127.128031 ",2025-11-12,0.70
"164",경기도 성남시,수정구,태평1동,수정태평1-A-8,태평1동 6439번지,,"2010","4","37.441394 ","127.130523 ",2025-11-12,0.70
"165",경기도 성남시,수정구,태평1동,수정태평1-A-9,태평1동 6939번지,"성남대로1237번길 12-1 (태평동, 삼성로얄맨션)","2012","4","37.440248 ","127.126179 ",2025-11-12,0.70
